Titles,List of Authors,Citations,PMIDs,Abstract Snippets
"
              
                Association Between Abundance of Haemophilus in the Gut Microbiota and Negative Symptoms of Schizophrenia.
              
            ","Zhu C, Zheng M, Ali U, Xia Q, Wang Z, Chenlong, Yao L, Chen Y, Yan J, Wang K, Chen J, Zhang X.",Front Psychiatry. 2021 Jul 30;12:685910. doi: 10.3389/fpsyt.2021.685910. eCollection 2021.,34393849,"
              Therefore, this study aimed to investigate gut microbiota dysbiosis and its relationship with psychopathologies in schizophrenia. ...Moreover, abundance of Haemophilus was positively correlated with cognition (r = 0.428, P = 0.009), excitement (r = 0.266, P = 0.037) …
            "
"
              
                Targeting the gut-microbiota-brain axis in irritable bowel disease to improve cognitive function - recent knowledge and emerging therapeutic opportunities.
              
            ","Tang H, Chen X, Huang S, Yin G, Wang X, Shen G.",Rev Neurosci. 2023 Feb 10;34(7):763-773. doi: 10.1515/revneuro-2022-0155. Print 2023 Oct 26.,36757367,"
              Changes in both the stability and diversity of the gut microbiota have been implicated in several neuronal disorders, including depression, autism spectrum disorder Parkinson's disease, Alzheimer's disease and multiple sclerosis. ...This adds to the growing b …
            "
"
              
                Microbiome-The Missing Link in the Gut-Brain Axis: Focus on Its Role in Gastrointestinal and Mental Health.
              
            ","Skonieczna-Żydecka K, Marlicz W, Misera A, Koulaouzidis A, Łoniewski I.",J Clin Med. 2018 Dec 7;7(12):521. doi: 10.3390/jcm7120521.,30544486,"
              Current treatment protocols for GI and non-GI disorders may positively or adversely affect the composition of intestinal microbiota with a diverse impact on therapeutic outcome(s). Alterations of gut microbiota have been associated with mood and depres …
            "
"
              
                Bipolar disorder and the gut microbiota: a bibliometric analysis.
              
            ","Lin X, Huang J, Wang S, Zhang K.",Front Neurosci. 2024 Mar 21;18:1290826. doi: 10.3389/fnins.2024.1290826. eCollection 2024.,38576868,"
              CONCLUSION: In conclusion, this is the first bibliometric analysis to explore the publications in the field of the association between bipolar disorder and the gut microbiota. The main research hotspots regarding this field were the characteristics, abundance, and …
            "
"
              
                Psychobiotics: Evolution of Novel Antidepressants.
              
            ","Dinan TG, Butler MI, Cryan JF.",Mod Trends Psychiatry. 2021;32:134-143. doi: 10.1159/000510424. Epub 2021 May 6.,34032650,"
              It was initially demonstrated in a rodent model of depression that the gut microbiota was altered. This observation has been replicated in patients with major depression who show decreased microbial diversity. ...A significant impact of such a diet is likely …
            "
"
              
                A Systematic Review on the Association between Obesity and Mood Disorders and the Role of Gut Microbiota.
              
            ","Panda SS, Nayak A, Shah S, Aich P.",Metabolites. 2023 Mar 29;13(4):488. doi: 10.3390/metabo13040488.,37110147,"
              Therefore, it is necessary to understand the mechanism underlying the crosstalk between obesity and mental disorders. The gut microbiota is vital in regulating and maintaining host physiology, including metabolism and neuronal circuits. Because of this newly …
            "
"
              
                Abnormalities of the composition of the gut microbiota and short-chain fatty acids in mice after splenectomy.
              
            ","Wei Y, Chang L, Ishima T, Wan X, Ma L, Wuyun G, Pu Y, Hashimoto K.",Brain Behav Immun Health. 2021 Jan 4;11:100198. doi: 10.1016/j.bbih.2021.100198. eCollection 2021 Feb.,34589731,"
              The spleen, as the largest immune organ in the body, has a key role in the brain-gut-microbiota axis. Here, we investigated whether splenectomy could affect depression-like phenotypes and the composition of the gut microbiota in adult mice. ...These da …
            "
"
              
                A Comprehensive Review of Almond Clinical Trials on Weight Measures, Metabolic Health Biomarkers and Outcomes, and the Gut Microbiota.
              
            ",Dreher ML.,Nutrients. 2021 Jun 8;13(6):1968. doi: 10.3390/nu13061968.,34201139,"
              This comprehensive narrative review of 64 randomized controlled trials (RCTs) and 14 systematic reviews and/or meta-analyses provides an in-depth analysis of the effect of almonds on weight measures, metabolic health biomarkers and outcomes, and the colonic microbiota …
            "
"
              
                Exploring the interplay between running exercises, microbial diversity, and tryptophan metabolism along the microbiota-gut-brain axis.
              
            ","Vazquez-Medina A, Rodriguez-Trujillo N, Ayuso-Rodriguez K, Marini-Martinez F, Angeli-Morales R, Caussade-Silvestrini G, Godoy-Vitorino F, Chorna N.",Front Microbiol. 2024 Jan 22;15:1326584. doi: 10.3389/fmicb.2024.1326584. eCollection 2024.,38318337,"
              Fecal microbiota analysis aimed to examine the composition and diversity of the gut microbiota, and taxon-function analysis explored the associations between specific microbial taxa and functional activities in tryptophan metabolism. ...These findings …
            "
"
              
                Feeling down? A systematic review of the gut microbiota in anxiety/depression and irritable bowel syndrome.
              
            ","Simpson CA, Mu A, Haslam N, Schwartz OS, Simmons JG.",J Affect Disord. 2020 Apr 1;266:429-446. doi: 10.1016/j.jad.2020.01.124. Epub 2020 Jan 22.,32056910,"
              This review set out to identify case-control studies comparing the gut microbiota in anxiety/depression, IBS, and both conditions comorbidly relative to each other and to controls, as well as gut microbiota investigations including measures of both IBS …
            "
"
              
                Microglial depletion and abnormalities in gut microbiota composition and short-chain fatty acids in mice after repeated administration of colony stimulating factor 1 receptor inhibitor PLX5622.
              
            ","Yang Y, Ishima T, Wan X, Wei Y, Chang L, Zhang J, Qu Y, Hashimoto K.",Eur Arch Psychiatry Clin Neurosci. 2022 Apr;272(3):483-495. doi: 10.1007/s00406-021-01325-0. Epub 2021 Sep 4.,34480631,"
              Interestingly, we found significant correlations between microglial markers in the brain and the relative abundance of several bacteria, suggesting microbiome-microglia crosstalk through the brain-gut axis. These data demonstrate that repeated administration of PLX5 …
            "
"
              
                The effects of dairy and dairy derivatives on the gut microbiota: a systematic literature review.
              
            ","Aslam H, Marx W, Rocks T, Loughman A, Chandrasekaran V, Ruusunen A, Dawson SL, West M, Mullarkey E, Pasco JA, Jacka FN.",Gut Microbes. 2020 Nov 9;12(1):1799533. doi: 10.1080/19490976.2020.1799533.,32835617,"
              The effects of dairy and dairy-derived products on the human gut microbiota remains understudied. A systematic literature search was conducted using Medline, CINAHL, Embase, Scopus, and PubMed databases with the aim of collating evidence on the intakes of all types …
            "
"
              
                Effects of paternal high-fat diet and maternal rearing environment on the gut microbiota and behavior.
              
            ","Korgan AC, Foxx CL, Hashmi H, Sago SA, Stamper CE, Heinze JD, O'Leary E, King JL, Perrot TS, Lowry CA, Weaver ICG.",Sci Rep. 2022 Jun 17;12(1):10179. doi: 10.1038/s41598-022-14095-z.,35715467,"
              Paternal diet (control, high-fat), maternal housing conditions (standard or semi-naturalistic housing), and maternal care (quality of nursing and other maternal behaviors) affected the within-subjects alpha-diversity of the offspring stomach and fecal microbiomes. We provi …
            "
"
              
                Gut dysbiosis in Huntington's disease: associations among gut microbiota, cognitive performance and clinical outcomes.
              
            ","Wasser CI, Mercieca EC, Kong G, Hannan AJ, McKeown SJ, Glikmann-Johnston Y, Stout JC.",Brain Commun. 2020 Jul 24;2(2):fcaa110. doi: 10.1093/braincomms/fcaa110. eCollection 2020.,33005892,"
              Our main objective was to characterize the gut microbiome in people with Huntington's disease and determine whether the composition of gut microbiota are significantly related to clinical indicators of disease progression. ...Participants were characte …
            "
"
              
                Analysis of gut microbiota diversity and auxiliary diagnosis as a biomarker in patients with schizophrenia: A cross-sectional study.
              
            ","Shen Y, Xu J, Li Z, Huang Y, Yuan Y, Wang J, Zhang M, Hu S, Liang Y.",Schizophr Res. 2018 Jul;197:470-477. doi: 10.1016/j.schres.2018.01.002. Epub 2018 Jan 17.,29352709,"
              In this study, we first compared the difference of gut microbiota between schizophrenia patients and healthy controls by 16S rRNA sequencing. We further explored whether gut microbiota can be used as a biomarker to assist in the diagnosis of schizophre …
            "
"
              
                Altered gut microbiota correlates with behavioral problems but not gastrointestinal symptoms in individuals with autism.
              
            ","Chen YC, Lin HY, Chien Y, Tung YH, Ni YH, Gau SS.",Brain Behav Immun. 2022 Nov;106:161-178. doi: 10.1016/j.bbi.2022.08.015. Epub 2022 Sep 2.,36058421,"
              This study aimed to comprehensively characterize microbial profiles in an East Asian sample and explore whether gut microbiota contributes to clinical symptoms, emotional/behavioral problems, and GI symptoms in ASD. ...We did not find an association between gut …
            "
